v8-version,7,8,279,23,-node.39,0
code-creation,Builtin,3,5561,0x1374660,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5590,0x1374820,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,5597,0x1374880,5,InternalArrayConstructor
code-creation,Builtin,3,5601,0x13748a0,5,InternalArrayConstructorImpl
code-creation,Builtin,3,5642,0x13748c0,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,5683,0x1374980,12,ArrayConcat
code-creation,Builtin,3,5725,0x13749a0,150,ArrayIsArray
code-creation,Builtin,3,5762,0x1374a40,12,ArrayPrototypeFill
code-creation,Builtin,3,5802,0x1374a60,3916,ArrayFrom
code-creation,Builtin,3,5844,0x13759c0,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,5885,0x1375da0,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,5925,0x1375e40,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,5933,0x1375f20,557,ArrayIncludes
code-creation,Builtin,3,5937,0x1376160,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,5975,0x13764e0,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,6017,0x1376560,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,6050,0x13765e0,565,ArrayIndexOf
code-creation,Builtin,3,6077,0x1376820,12,ArrayPop
code-creation,Builtin,3,6084,0x1376840,708,ArrayPrototypePop
code-creation,Builtin,3,6088,0x1376b20,12,ArrayPush
code-creation,Builtin,3,6092,0x1376b40,2742,ArrayPrototypePush
code-creation,Builtin,3,6101,0x1377600,12,ArrayShift
code-creation,Builtin,3,6105,0x1377620,12,ArrayUnshift
code-creation,Builtin,3,6108,0x1377640,1106,CloneFastJSArray
code-creation,Builtin,3,6116,0x1377aa0,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,6137,0x13784c0,1146,ExtractFastJSArray
code-creation,Builtin,3,6178,0x1378940,299,ArrayPrototypeEntries
code-creation,Builtin,3,6220,0x1378a80,279,ArrayPrototypeKeys
code-creation,Builtin,3,6261,0x1378ba0,299,ArrayPrototypeValues
code-creation,Builtin,3,6303,0x1378ce0,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,6330,0x1379dc0,3800,FlattenIntoArray
code-creation,Builtin,3,6337,0x137aca0,3764,FlatMapIntoArray
code-creation,Builtin,3,6341,0x137bb60,528,ArrayPrototypeFlat
code-creation,Builtin,3,6379,0x137bd80,576,ArrayPrototypeFlatMap
code-creation,Builtin,3,6421,0x137bfe0,12,ArrayBufferConstructor
code-creation,Builtin,3,6460,0x137c000,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,6495,0x137c020,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,6502,0x137c040,12,ArrayBufferIsView
code-creation,Builtin,3,6530,0x137c060,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,6555,0x137c080,628,AsyncFunctionEnter
code-creation,Builtin,3,6596,0x137c300,161,AsyncFunctionReject
code-creation,Builtin,3,6638,0x137c3c0,153,AsyncFunctionResolve
code-creation,Builtin,3,6680,0x137c460,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,6722,0x137c480,1298,AsyncFunctionAwaitCaught
code-creation,Builtin,3,6764,0x137c9a0,1298,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,6798,0x137cec0,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,6832,0x137cf80,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,6873,0x137d040,12,BigIntConstructor
code-creation,Builtin,3,6925,0x137d060,12,BigIntAsUintN
code-creation,Builtin,3,6966,0x137d080,12,BigIntAsIntN
code-creation,Builtin,3,6999,0x137d0a0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,7040,0x137d0c0,12,BigIntPrototypeToString
code-creation,Builtin,3,7082,0x137d0e0,12,BigIntPrototypeValueOf
code-creation,Builtin,3,7110,0x137d100,186,BooleanPrototypeToString
code-creation,Builtin,3,7117,0x137d1c0,178,BooleanPrototypeValueOf
code-creation,Builtin,3,7121,0x137d280,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,7166,0x137d2a0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,7198,0x137d2c0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,7206,0x137d2e0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,7228,0x137d300,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,7236,0x137d320,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,7240,0x137d340,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,7245,0x137d360,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,7266,0x137d380,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,7274,0x137d3a0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,7278,0x137d3c0,12,CallSitePrototypeGetThis
